Name,HIP,Bayer ID
Mizar,65378,ζ UMa
Spica,65474,α Vir
Alcor,65477,80 UMa
Dofida,66047,
Liesma,66192,
Heze,66249,ζ Vir
Alkaid,67301,η UMa
Muphrid,67927,η Boo
Leepwal,68002,ζ Cen
Hadar,68702,β Cen
Thuban,68756,α Dra
Menkent,68933,θ Cen
Kang,69427,κ Vir
Arcturus,69673,α Boo
Syrma,69701,ι Vir
Xuange,69732,λ Boo
Khambalia,69974,λ Vir
Elgafar,70755,ϕ Vir
Proxima Centauri,70890,α Cen
Seginus,71075,γ Boo
Toliman,71681,α Cen
Rigil Kentaurus,71683,α Cen
Uridim,71860,α Lup
Izar,72105,ε Boo
Mönch,72339,
Merga,72487,38 Boo
Solitaire,72571,E Hya
Kochab,72607,β UMi
Zubenelgenubi,72622,α2 Lib
Arcalís,72845,_ Boo
Baekdu,73136,8 UMi
Nekkar,73555,β Boo
Brachium,73714,σ Lib
Zubeneschamali,74785,β Lib
Nikawiy,74961,
Pherkad,75097,γ UMi
Alkalurops,75411,μ Boo
Edasich,75458,ι Dra
Nusakan,75695,β CrB
Alphecca,76267,α CrB
Zubenelhakrabi,76333,γ Lib
Karaka,76351,
Unukalhai,77070,α Ser
Gudja,77450,κ Ser
Iklil,78104,ρ Sco
Fang,78265,π Sco
Dschubba,78401,δ Sco
Acrab,78820,β1 Sco
Marsic,79043,κ Her
Kamuy,79219,
Jabbah,79374,ν Sco
Sharjah,79431,
Yed Prior,79593,δ Oph
Yed Posterior,79882,ε Oph
Alniyat,80112,σ Sco
Athebyne,80331,η Dra
Cujam,80463,ω Her
Timir,80687,
Antares,80763,α Sco
Kornephoros,80816,β Her
Ogma,80838,
Marfik,80883,λ Oph
Rosaliadecastro,81022,
Paikauhale,81266,τ Sco
Atria,82273,α TrA
Larawag,82396,ε Sco
Xamidimura,82514,μ1 Sco
Pipirima,82545,μ2 Sco
Mahsati,82651,
Rapeto,83547,
Alrakis,83608,μ Dra
Aldhibah,83895,ζ Dra
Sabik,84012,η Oph
Rasalgethi,84345,α1 Her
Sarin,84379,δ Her
Guniibuu,84405,36 Oph
Inquill,84787,
Rastaban,85670,β Dra
Maasym,85693,λ Her
Lesath,85696,υ Sco
Yildun,85822,δ UMi
Shaula,85927,λ Sco
Rasalhague,86032,α Oph
Sargas,86228,θ Sco
Dziban,86614,ψ1 Dra
Cebalrai,86742,β Oph
Alruba,86782,- Dra
Cervantes,86796,μ Ara
Bake-eo (or Bake Eo),87108,γ Oph
Fuyue,87261,G Sco
Grumium,87585,ξ Dra
Eltanin,87833,γ Dra
Barnard's Star,87937,V2500 Oph
Pincoya,88414,
Alnasl,88635,γ2 Sgr
Polis,89341,μ Sgr
Kaus Media,89931,δ Sgr
Alasia,90004,_ Ser
Kaus Australis,90185,ε Sgr
Fafnir,90344,42 Dra
Kaus Borealis,90496,λ Sgr
Vega,91262,α Lyr
Xihe,91852,
Sheliak,92420,β Lyr
Ainalrami,92761,ν1 Sgr
Nunki,92855,σ Sgr
Kaveh,92895,
Alya,92946,θ1 Ser
Sulafat,93194,γ Lyr
Ascella,93506,ζ Sgr
Okab,93747,ζ Aql
Meridiana,94114,α CrA
Albaldah,94141,π Sgr
Altais,94376,δ Dra
Aladfar,94481,η Lyr
Gumala,94645,V5652 Sgr
Belel,95124,
Arkab Prior,95241,β1 Sgr
Sika,95262,
Arkab Posterior,95294,β2 Sgr
Rukbat,95347,α Sgr
Albireo,95947,α Cyg
Uruk,96078,
Alsafi,96100,σ Dra
Sham,96757,α Sge
Fawaris,97165,δ Cyg
Tarazed,97278,γ Aql
Altair,97649,α Aql
Libertas,97938,ξ Aql
Alshain,98036,β Aql
Terebellum,98066,ω Sgr
Tianfu,98823,tau Aql
Antinous,99473,θ Aql
Phoenicia,99711,V1703 Aql
Chechia,99894,
Algedi,100064,α2 Cep
Alshat,100310,ν Cap
Dabih,100345,β1 Cap
